style
Moins 1 joueur
À la manière d'Alfred Hitchcock
À la manière de Anton Tchekhov
À la manière de Charlie Chaplin
À la manière de Eugène Ionesco
À la manière de Federico Fellini
À la manière de Franz Kafka
À la manière de Jean de La Fontaine
À la manière de Jean-Luc Godard
À la manière de Jules Verne
À la manière de Lewis Carroll
À la manière de Marcel Pagnol
À la manière de Molière
À la manière de Quentin Tarantino
À la manière de Samuel Beckett
À la manière de Shakespeare
À la manière de Steven Spielberg
À la manière de Victor Hugo
Abécédaire (inversé ou non)
Assis, debout, accroupis, couché
Avec exagération
Budget dégressif
Carré hollandais
Change ! (répétitive)
Chantée
Commedia dell'arte
Conte de fées
Croisement
Cuisine et dépendance
Dans le noir (auditive)
Déplacements limités
Documentaire
Double-poursuite
Étages (Montage/Démontage)
Film d'horreur
Film noir
Fusillade
Générateur de mots
Grommelot
Gromolo
Grosse colère
Harold
Humeur imposée
Jukebox
Mélodrame
Mimée
Mort en scène
Musicale (avec ambiance musicale)
Objet détourné (Accessoire)
Opéra
Peau de chagrin (régressive)
Playback (doublage américain)
Points de vue
Porno censuré
Poursuite
Rimée
Roman d'amour
Roman-photo
Sans limite d'espace
Sans parole
Science-fiction
Silencieuse
Sitcom
Soap opera
Suicide
Super-héros
Taxi
Téléphone arabe mimé
Texte imposé
Théâtre de boulevard
Tous meurent à la fin
Traveling
Trois-Têtes
Village
Western
Western spaghetti
Zapping télé
Zone d'humeurs
